1.0,0.14,0.97,0.19,0.87,0.03,0.87,0.14,0.92,1,0,0
0.88,0.96,0.91,0.85,0.01,0.93,0.92,0.91,0.93,0,1,0
0.01,0.95,0.19,0.92,0.04,0.86,0.88,0.12,0.03,0,0,1
0.93,0.1,0.91,0.01,0.91,0.0,0.92,0.03,0.88,1,0,0
0.97,0.96,0.89,0.9,0.12,0.92,0.94,0.95,0.9,0,1,0
0.96,0.01,0.08,0.04,0.03,0.93,0.94,0.03,0.1,0,0,1
0.87,0.11,0.96,0.09,0.93,0.0,1.0,0.06,0.92,1,0,0
0.87,0.95,0.95,0.88,0.11,0.9,0.86,0.87,0.92,0,1,0
0.08,0.87,0.05,0.11,0.05,0.06,0.15,0.11,0.07,0,0,1
0.86,0.18,0.88,0.1,0.87,0.17,0.9,0.18,0.86,1,0,0
0.98,0.87,0.97,0.86,0.09,0.94,0.88,0.92,0.97,0,1,0
0.11,0.92,0.07,0.07,0.1,0.15,0.0,0.14,0.97,0,0,1
0.99,0.19,0.97,0.01,0.93,0.01,0.86,0.05,0.95,1,0,0
0.89,0.95,0.9,0.87,0.06,0.96,0.91,0.94,0.98,0,1,0
0.99,0.18,0.07,0.17,0.97,0.98,0.07,1.0,0.11,0,0,1
0.94,0.08,0.93,0.09,0.94,0.13,0.92,0.18,0.99,1,0,0
0.92,0.95,0.99,0.9,0.0,0.99,0.92,0.96,0.89,0,1,0
0.09,0.05,0.02,0.12,0.96,0.94,0.12,0.09,1.0,0,0,1
0.92,0.15,0.93,0.13,0.93,0.19,0.88,0.01,0.94,1,0,0
0.95,0.97,0.97,1.0,0.1,0.95,0.88,0.95,0.95,0,1,0
0.09,0.12,0.08,0.92,0.98,1.0,0.93,0.19,0.11,0,0,1
0.93,0.05,0.89,0.02,0.96,0.07,0.9,0.06,0.88,1,0,0
0.99,0.93,0.92,0.98,0.17,0.86,0.97,0.98,0.92,0,1,0
0.91,0.94,0.95,0.04,0.18,0.11,0.18,0.11,0.1,0,0,1
0.97,0.04,0.88,0.16,0.99,0.02,0.92,0.14,0.95,1,0,0
0.98,0.96,0.96,0.9,0.01,0.89,0.87,0.86,0.97,0,1,0
0.03,0.16,0.94,0.13,0.07,0.13,0.13,0.03,0.87,0,0,1
0.95,0.15,0.92,0.2,1.0,0.05,0.88,0.13,0.94,1,0,0
0.85,0.96,0.88,0.87,0.11,0.91,0.87,0.93,0.95,0,1,0
0.05,0.93,0.94,0.17,0.11,0.16,0.06,0.16,0.95,0,0,1
0.87,0.06,0.94,0.15,1.0,0.1,0.94,0.19,0.87,1,0,0
0.89,0.97,0.91,0.87,0.0,0.9,0.93,0.99,0.86,0,1,0
0.05,0.01,0.9,0.08,0.02,0.19,0.16,0.13,0.12,0,0,1
0.92,0.19,0.99,0.06,1.0,0.09,0.87,0.04,0.97,1,0,0
0.85,0.94,0.89,0.99,0.15,0.96,0.98,0.98,0.93,0,1,0
0.03,0.15,0.19,0.08,0.98,0.86,0.85,0.17,0.01,0,0,1
0.89,0.11,0.96,0.18,0.88,0.03,0.98,0.02,0.92,1,0,0
0.97,0.9,0.88,0.94,0.04,0.94,0.97,0.95,0.98,0,1,0
0.03,0.01,0.02,0.12,0.04,0.96,0.04,0.01,0.09,0,0,1
0.86,0.05,0.91,0.01,0.93,0.02,0.99,0.18,0.99,1,0,0
0.86,0.91,0.97,0.88,0.09,0.91,0.98,0.85,0.87,0,1,0
0.9,0.17,0.89,0.13,0.87,0.03,0.04,0.2,0.93,0,0,1
0.93,0.08,0.9,0.1,0.97,0.08,1.0,0.11,0.9,1,0,0
0.95,0.94,0.87,0.89,0.0,0.97,0.95,0.98,0.97,0,1,0
0.17,0.17,0.06,0.96,0.13,0.14,0.16,0.16,0.05,0,0,1
0.99,0.13,0.86,0.17,0.97,0.01,0.92,0.18,0.94,1,0,0
0.94,0.89,0.98,0.87,0.14,0.99,0.86,0.86,0.98,0,1,0
0.96,0.87,0.1,0.01,0.13,0.04,0.18,0.04,0.14,0,0,1
0.86,0.13,0.87,0.05,0.89,0.18,0.94,0.15,0.91,1,0,0
0.93,0.97,0.87,0.89,0.07,0.89,0.91,0.92,0.95,0,1,0
0.03,0.07,0.14,0.12,0.16,0.96,0.02,0.97,0.08,0,0,1
0.96,0.08,0.99,0.17,0.86,0.07,0.94,0.02,0.98,1,0,0
0.86,0.93,0.93,0.96,0.15,0.96,0.9,0.94,0.88,0,1,0
0.07,0.08,0.19,0.91,0.9,0.92,0.13,0.09,0.11,0,0,1
0.89,0.06,0.98,0.14,0.85,0.03,0.99,0.05,0.86,1,0,0
0.94,0.99,0.93,0.87,0.07,0.87,0.87,0.94,0.88,0,1,0
0.07,0.15,0.1,0.05,0.12,0.06,0.88,0.05,0.02,0,0,1
0.91,0.03,0.94,0.17,0.95,0.19,0.89,0.2,0.89,1,0,0
0.93,0.9,0.97,0.99,0.0,0.92,0.93,0.86,0.99,0,1,0
0.93,0.06,0.17,0.2,0.1,0.14,0.85,0.03,0.12,0,0,1
0.93,0.08,0.98,0.13,0.98,0.04,0.9,0.05,0.94,1,0,0
0.95,0.93,0.88,0.93,0.09,0.93,0.96,0.87,0.92,0,1,0
0.85,0.18,0.12,0.91,0.01,0.89,0.11,0.97,0.03,0,0,1
0.9,0.02,0.89,0.19,0.92,0.11,0.93,0.01,0.85,1,0,0
0.99,0.91,0.88,0.87,0.02,0.92,0.9,0.91,0.86,0,1,0
